                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 2.2481,                 1.4736,                 1.3707,                0.38874,                 0.7987,                0.61149,                0.26376,                 2.2219,                 1.4797,                 1.3133,             0.00059429,             0.00059429,             0.00059429
                     67,                 2.2686,                 1.4904,                 1.3431,                0.35344,                0.50974,                0.33901,                0.11736,                 2.2165,                 1.4963,                 1.3251,             0.00057778,             0.00057778,             0.00057778
                     68,                 2.2777,                 1.4848,                 1.3558,                0.26656,                0.32468,                0.35692,                0.13514,                 2.1762,                 1.5501,                 1.3088,             0.00056128,             0.00056128,             0.00056128
                     69,                 2.2746,                 1.4103,                  1.385,                0.26296,                0.63312,                0.41697,                0.18174,                 2.1447,                 1.5043,                 1.2958,             0.00054478,             0.00054478,             0.00054478
                     70,                 2.2173,                  1.438,                 1.3773,                0.37053,                0.52922,                0.58581,                0.28696,                 2.0643,                 1.3969,                 1.2734,             0.00052827,             0.00052827,             0.00052827
                     71,                 2.2893,                 1.5257,                 1.4227,                0.35631,                0.49919,                0.38802,                0.16929,                 2.1442,                 1.5411,                 1.3063,             0.00051177,             0.00051177,             0.00051177
                     72,                 2.2704,                 1.4276,                 1.3589,                0.68054,                0.42532,                0.50611,                0.23456,                 2.3604,                 1.5643,                 1.3668,             0.00049527,             0.00049527,             0.00049527
                     73,                 2.2712,                 1.5403,                 1.4094,                0.55461,                0.43831,                0.41039,                0.16636,                 2.1123,                 1.5101,                 1.2915,             0.00047876,             0.00047876,             0.00047876
                     74,                 2.2014,                 1.4272,                 1.3821,                0.57256,                0.46585,                0.42784,                0.17019,                 2.0841,                 1.4639,                 1.2779,             0.00046226,             0.00046226,             0.00046226
                     75,                 2.2085,                 1.3776,                 1.3298,                0.48331,                0.54831,                0.41101,                0.17376,                  2.166,                 1.4668,                 1.2998,             0.00044576,             0.00044576,             0.00044576
                     76,                 2.1737,                 1.4102,                 1.3357,                 0.4237,                0.60714,                 0.4242,                0.19215,                 2.0362,                 1.4185,                 1.2623,             0.00042925,             0.00042925,             0.00042925
                     77,                 2.2226,                 1.4089,                 1.3504,                 0.3667,                0.55208,                0.38168,                0.16776,                 1.9907,                 1.3909,                 1.2617,             0.00041275,             0.00041275,             0.00041275
                     78,                 2.1874,                 1.4616,                 1.3457,                0.35444,                0.81169,                0.40009,                0.17361,                 2.0253,                 1.4147,                 1.2687,             0.00039625,             0.00039625,             0.00039625
                     79,                 2.2423,                 1.4115,                 1.3646,                0.49435,                0.76242,                0.67052,                0.31195,                 2.0247,                 1.3775,                 1.2537,             0.00037974,             0.00037974,             0.00037974
                     80,                 2.2015,                 1.4175,                  1.334,                0.51173,                0.57381,                0.52883,                0.25486,                 2.0157,                 1.3814,                 1.2468,             0.00036324,             0.00036324,             0.00036324
                     81,                 2.2162,                 1.3683,                 1.3838,                0.26106,                0.63312,                0.35537,                0.14219,                 2.0958,                 1.4062,                 1.2765,             0.00034674,             0.00034674,             0.00034674
                     82,                 2.1919,                 1.3839,                 1.3598,                0.26856,                0.62662,                0.35463,                 0.1274,                 2.1136,                 1.4365,                  1.293,             0.00033023,             0.00033023,             0.00033023
                     83,                 2.1593,                 1.3994,                 1.3339,                0.64627,                0.46797,                0.55028,                0.18731,                 2.1413,                 1.4417,                 1.3081,             0.00031373,             0.00031373,             0.00031373
                     84,                 2.1847,                 1.4201,                 1.3529,                0.72732,                0.39935,                0.58181,                0.22652,                 2.0476,                 1.3956,                 1.2701,             0.00029723,             0.00029723,             0.00029723
                     85,                 2.2465,                 1.4054,                 1.3636,                0.43604,                0.77146,                0.61181,                0.21412,                 2.0722,                 1.4424,                 1.2734,             0.00028072,             0.00028072,             0.00028072
                     86,                 2.1838,                 1.3952,                 1.3645,                0.46973,                0.79221,                0.46992,                0.21722,                 2.0018,                 1.4603,                  1.253,             0.00026422,             0.00026422,             0.00026422
                     87,                 2.1626,                 1.4113,                 1.3828,                0.37864,                0.82398,                0.44034,                0.20784,                 2.0083,                  1.389,                 1.2637,             0.00024772,             0.00024772,             0.00024772
                     88,                 2.1689,                 1.4121,                 1.3509,                 0.4524,                0.47727,                0.40895,                0.19765,                 2.0938,                 1.3826,                 1.2859,             0.00023121,             0.00023121,             0.00023121
                     89,                 2.1443,                  1.368,                 1.3393,                0.45559,                0.49026,                0.41411,                0.19472,                 2.1379,                 1.3826,                 1.2944,             0.00021471,             0.00021471,             0.00021471
                     90,                 2.0843,                 1.3364,                 1.3307,                0.53188,                0.46562,                0.47113,                 0.2322,                 2.1049,                 1.3827,                  1.283,             0.00019821,             0.00019821,             0.00019821
                     91,                 2.1602,                 1.3936,                 1.3841,                0.42791,                0.57458,                 0.4371,                0.18979,                 2.0505,                 1.3893,                 1.2627,              0.0001817,              0.0001817,              0.0001817
                     92,                 2.1059,                 1.3489,                 1.3819,                0.34861,                0.57042,                0.41894,                0.19068,                 2.0125,                 1.3889,                 1.2454,              0.0001652,              0.0001652,              0.0001652
                     93,                 2.1192,                 1.3514,                 1.3814,                0.38142,                0.58117,                 0.4168,                0.17616,                 1.9992,                 1.3654,                 1.2422,              0.0001487,              0.0001487,              0.0001487
                     94,                 2.1215,                 1.3455,                 1.4054,                0.43343,                0.56818,                0.45543,                0.19608,                 2.0489,                  1.378,                 1.2635,             0.00013219,             0.00013219,             0.00013219
                     95,                 2.1713,                 1.3569,                 1.4165,                0.40161,                0.58766,                 0.4604,                0.19709,                 2.0713,                 1.3856,                 1.2677,             0.00011569,             0.00011569,             0.00011569
                     96,                 2.1034,                 1.3614,                 1.3822,                0.38017,                0.58766,                0.45016,                0.21879,                 2.0702,                  1.384,                 1.2657,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 2.0635,                 1.3221,                 1.3897,                0.49543,                0.54518,                0.46143,                0.20785,                 2.0563,                 1.3867,                 1.2608,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 2.1269,                 1.3491,                 1.3869,                0.37975,                  0.803,                0.46362,                0.22352,                 2.0694,                 1.3754,                 1.2652,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 2.1008,                 1.3566,                 1.3718,                 0.4053,                0.56169,                0.45099,                0.20189,                 2.1113,                 1.3754,                 1.2827,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 2.1062,                 1.3307,                 1.4174,                0.42668,                0.52922,                0.45028,                0.19577,                 2.0946,                 1.3704,                  1.274,             3.3173e-05,             3.3173e-05,             3.3173e-05
